ControlD-v4-1 76.76.2.0
ControlD-v4-2 76.76.10.0
ControlD-v6-1 2606:1a40::
ControlD-v6-2 2606:1a40:1::
DNSFilter-v4-1 103.247.36.36
DNSFilter-v4-2 103.247.37.37
Cloudflare-v4-1 1.1.1.1
Cloudflare-v4-2 1.0.0.1
Cloudflare-v6-1 2606:4700:4700::1111
Cloudflare-v6-2 2606:4700:4700::1001
Safe-v4-1 195.46.39.39
Safe-v4-2 195.46.39.40
Open-v4-1 208.67.222.222
Open-v4-2 208.67.220.220
Open-v6-1 2620:119:35::35
Open-v6-2 2620:119:53::53
Next-v4-1 45.90.28.0
Next-v4-2 45.90.30.0
Next-v6-1 2a07:a8c0::
Next-v6-2 2a07:a8c1::
Google-v4-1 8.8.8.8
Google-v4-2 8.8.4.4
Google-v6-1 2001:4860:4860::8888
Google-v6-2 2001:4860:4860::8844
FlashStart-v4-1 185.236.104.104
FlashStart-v4-2 185.236.105.105
FlashStart-v6-1 2a0d:2a00:1::
FlashStart-v6-2 2a0d:2a00:2::
Ultra-v4-1 156.154.70.1
Ultra-v4-2 156.154.71.1
Ultra-v6-1 2610:a1:1018::1
Ultra-v6-2 2610:a1:1019::1
Quad9-v4-1 9.9.9.9
Quad9-v4-2 149.112.112.112
Quad9-v6-1 2620:fe::9
Quad9-v6-2 2620:fe::fe
